play_id,game_id,Number,Kicker,Yards,Outcome,hash,make_x,make_y,posteam,defteam,game_date,qtr,quarter_seconds_remaining,yardline_100,desc
3310,2022_08_NE_NYJ,6,N. Folk,52,Good,9.25,1.7,12.3,NE,NYJ,2022-10-30,4,639,33,"(10:39) 6-N.Folk 52 yard field goal is GOOD, Center-49-J.Cardona, Holder-7-J.Bailey."
1854,2022_08_NYG_SEA,5,J. Myers,35,Good,-9.25,-0.7,4.1,SEA,NYG,2022-10-30,2,102,17,"(1:42) 5-J.Myers 35 yard field goal is GOOD, Center-46-C.Tinker, Holder-4-M.Dickson."
2408,2022_08_NYG_SEA,9,G. Gano,31,Good,9.25,-1.7,21.6,NYG,SEA,2022-10-30,3,368,13,"(6:08) 9-G.Gano 31 yard field goal is GOOD, Center-58-C.Kreiter, Holder-6-J.Gillan."
2580,2022_08_NYG_SEA,5,J. Myers,51,Good,9.25,-0.1,18.8,SEA,NYG,2022-10-30,3,167,33,"(2:47) 5-J.Myers 51 yard field goal is GOOD, Center-46-C.Tinker, Holder-4-M.Dickson."
2901,2022_08_NYG_SEA,9,G. Gano,45,Good,-9.25,0.2,23.6,NYG,SEA,2022-10-30,4,682,27,"(11:22) 9-G.Gano 45 yard field goal is GOOD, Center-58-C.Kreiter, Holder-6-J.Gillan."
2060,2022_08_PIT_PHI,4,N. Sciba,38,Good,-9.25,6.1,16.1,PIT,PHI,2022-10-30,2,66,20,"(1:06) 4-N.Sciba 38 yard field goal is GOOD, Center-46-C.Kuntz, Holder-6-P.Harvin."
2860,2022_08_PIT_PHI,4,N. Sciba,29,Good,9.25,-3.7,26.8,PIT,PHI,2022-10-30,3,359,11,"(5:59) 4-N.Sciba 29 yard field goal is GOOD, Center-46-C.Kuntz, Holder-6-P.Harvin."
1714,2022_08_SF_LA,9,R. Gould,29,Good,-2,-3.2,25.6,SF,LA,2022-10-30,2,64,12,"(1:04) 9-R.Gould 29 yard field goal is GOOD, Center-46-T.Pepper, Holder-18-M.Wishnowsky."
188,2022_08_TEN_HOU,14,R. Bullock,48,No Good,-9.25,11.7,16.3,TEN,HOU,2022-10-30,1,691,30,"(11:31) 14-R.Bullock 48 yard field goal is No Good, Wide Right, Center-46-M.Cox, Holder-4-R.Stonehouse."
1010,2022_08_TEN_HOU,7,K. Fairbairn,43,Good,1,1.4,28.8,HOU,TEN,2022-10-30,2,643,24,"(10:43) 7-K.Fairbairn 43 yard field goal is GOOD, Center-46-J.Weeks, Holder-11-C.Johnston."
2575,2022_08_TEN_HOU,14,R. Bullock,29,Good,0,-2.5,26.8,TEN,HOU,2022-10-30,4,671,10,"(11:11) 14-R.Bullock 29 yard field goal is GOOD, Center-46-M.Cox, Holder-4-R.Stonehouse."
801,2022_08_WAS_IND,7,C. McLaughlin,46,Good,-9.25,4.6,17.5,IND,WAS,2022-10-30,2,857,28,"(14:17) 7-C.McLaughlin 46 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack."
2033,2022_08_WAS_IND,7,C. McLaughlin,39,Good,9.25,7.4,25.7,IND,WAS,2022-10-30,3,438,21,"(7:18) 7-C.McLaughlin 39 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack."
2592,2022_08_WAS_IND,7,C. McLaughlin,20,Good,-9.25,0.7,17.2,IND,WAS,2022-10-30,4,755,2,"(12:35) 7-C.McLaughlin 20 yard field goal is GOOD, Center-46-L.Rhodes, Holder-6-M.Haack."
3091,2022_08_WAS_IND,6,J. Slye,28,Good,0,3.1,31,WAS,IND,2022-10-30,4,299,10,"(4:59) 6-J.Slye 28 yard field goal is GOOD, Center-54-C.Cheeseman, Holder-5-T.Way."
501,2022_08_CIN_CLE,3,C. York,53,Blocked,9.25,,,CLE,CIN,2022-10-31,1,383,35,"(6:23) 3-C.York 53 yard field goal is BLOCKED (92-B.Hill), Center-47-C.Hughlett, Holder-13-C.Bojorquez."
1816,2022_08_CIN_CLE,2,E. McPherson,47,No Good,9.25,10.4,25.6,CIN,CLE,2022-10-31,2,44,28,"(:44) 2-E.McPherson 47 yard field goal is No Good, Wide Right, Center-48-C.Adomitis, Holder-10-K.Huber."
1982,2022_08_CIN_CLE,3,C. York,55,Good,-9.25,4.4,16.6,CLE,CIN,2022-10-31,2,4,37,"(:04) 3-C.York 55 yard field goal is GOOD, Center-47-C.Hughlett, Holder-13-C.Bojorquez."
